,Article,Topic
180,bell set for england debut bath prop duncan bell has been added englands 30man squad face ireland the rbs six nations and with phil vickery sidelined for least six weeks with broken arm and julian white out with neck injury bell could make his england debut bell had set his sights international career with wales but last december the international rugby board confirmed that could only eligible for england had travelled tour with them england coach andy robinson could take gamble and call inexperienced sale sharks prop andrew sheridan into his front row but sheridan favours the loosehead side the scrum and more likely scenario for uncapped bell who was among the tryscorers when england beat france nine days ago drafted robinson also has injury worry over centre olly barkley who withdrew from baths starting lineup face gloucester last weekend was due have hospital scan monday while gloucester centre henry paul who started flyhalf against bath limped out kingsholm because ankle problem despite barkleys three missed penalties the defeat against france expected retain his place inside centre although leicesters inform prospect ollie smith would obvious replacement bath coach john connolly rates barkley better than chance make the dublin trip uncapped flyhalf andy goode has been named 30man training squad for the ireland game and strengthened his selection claims kicking points during leicesters record win against newcastle sunday englands players are due meet their surrey training base monday,Sports
93,rover deal may cost jobs some jobs rovers midlands plant may cut investment the firm chinese car maker goes ahead the financial times has reported shanghai automotive industry corp plans shift production the rover china and export the sources close the negotiations tell the but rover told bbc news that reports job cuts were speculation tieup seen rovers last chance save its longbridge plant has been pushed chancellor gordon brown rover confirmed the tieup would take place not very far away from this time rover bosses have said they are confident the £1bn 19bn investment deal would signed march early april transport general workers union general secretary tony woodley repeated his view friday that all mergers led some job cuts said investment new models was needed ensure the future the birmingham plant this very crucial and delicate time and our efforts are targeted securing new models for the company which will mean jobs for our people said saic says none its money will paid the four owners rover who have been accused unions awarding themselves exorbitant salaries the reports saic extremely concerned ensure that its money used invest the business rather than distributed the shareholders the newspaper quotes source close the chinese firm meanwhile according chinese state press reports small stateowned carmaker nanjing auto negotiations with rover and saic take stake the joint venture saic was unavailable for comment the job cuts when contacted bbc news rover and saic signed technologysharing agreement august,Economics
264,parents hoping get their youngest children vaccinated against covid19 got some encouraging news monday pfizer said three small doses its vaccine offers strong protection youngsters under according preliminary data that news comes month after moderna said would ask regulators its two doses tor the youngest kids but few steps remain before the shots are available health officials and their expert panels must first decide they are safe enough and provide enough protection authorize them food and drug administration vaccine chief peter marks has pledged the agency will “move quickly without sacrificing our standards” evaluating totsized doses from both pfizer and moderna the fda has tentatively set june date for its scientific advisers publicly review the two companies vaccines after the advisers weigh the fda determines whether authorize the shot moderna seeking clearance for two lowdose shots for children under age while pfizer hopes offer three extralow doses kids under age differences due how each company studied its vaccine currently the recommends vaccinations for everyone age and older and pfizer the only option for those children moderna for now used only adults the cdc review either vaccine cleared for the littlest kids the centers for disease control and prevention would have recommend whether all babies toddlers and preschoolers should receive them only those high risk serious illness the cdc would convene its own panel advisers debate the recommendation before issuing its official guidance rollout the biden administration has said the shots will roll out rapidly and most tots are expected vaccinated pediatricians offices health clinics it’s not clear how much demand there will vaccinate the youngest kids however pfizer shots for 11yearolds opened november but only about that age group have gotten the recommended initial two doses the associated press health and science department receives support from the howard hughes medical institute’s department science education the solely responsible for all content copyright the associated press all rights reserved this material may not published broadcast rewritten redistributed,Medicine
94,firm wpps profits surge advertising giant wpp has posted largerthanexpected annual profits and predicted that will outperform the market pretax profits rose from year ago reach £546m 104bn ahead average analysts forecasts £532m revenues were £43bn while the firms operating margins were which said could reach during the year wpp bought rival grey global creating giant big enough rival sector leader omnicom chief executive martin sorrell friday told reuters news agency that wpp had submitted proposal for united business medias nop world market research unit analysts say the unit sell could sell for £350m wpp recent years has also bought firms such ogilvy mather and cordiant communications also includes the firms young rubicam and walter thompson events such the olympics helped boost wpps profits the company said the congressional elections and the fifa world cup are likely present advertising opportunities the near future the longterm outlook looks very favourable because media and technology developments and the strength the economy wpp said,Economics
153,lung cancer the second most common cancer the world more than million people received new lung cancer diagnosis lung cancer the most common type cancer men and the second most common women early detection screening for lung cancer provides way for healthcare professionals check for signs the disease people who are high risk but currently have symptoms the most common screening test for lung cancer lowdose computed tomography ldcttrusted source scan previous research shows screening ldct reduces the death rate from lung cancer according researchers from the moffitt cancer center lung cancer early detection screening can sometimes lead overdiagnosis and overtreatment the scientists have developed model based radiomicstrusted source where data from various medical imaging processes such mris and scans combine help healthcare professionals better identify highrisk versus lowrisk tumors patients the study was recently published the journal cancer biomarkers not all cancer stages are the same according matthew schabath associate member the cancer epidemiology department moffitt cancer center and senior and corresponding author this study the goal cancer screening detect cancers earlier stages where treatment with surgery can curative however not all early stages are the same “some earlystage cancers are lowrisk indolent diseases that probably would not become symptomatic patient’s lifetime and would not contribute death” explained medical news today “other earlystage cancers are very highriskaggressive that associated with very poor outcomes and likely require more aggressive treatment such adjuvant therapies and there spectrum intermediaterisk cancers well” “as such the goal this research was generate radiomic biomarkers among lung cancers diagnosed the lung cancer screening setting better differentiate between indolentlowrisk intermediaterisk and highrisk lung cancers” added,Medicine
114,unveils more for all budget the south african government has put tax cuts and increased social spending the centre its latest budget aiming both stir economic growth and aid the countrys poor finance minister trevor manuel said the focus the budget was more for all the tax cuts target firms and individuals cutting corporate tax from and offering income tax cuts worth 68bn rand 12bn £910m spending health and education will rise and respectively spending housing and sanitation will rise all the spending increases will run over the next three years unveiling the 418bnrand budget parliament manuel said the south african economy had grown average over the past four years slightly below the african average predicted that the south african economy would grow and manuel added that inflation fell and expected remain between and from now until least helped interest rates which are their lowest level years given that both corporate and personal taxes are being cut under the new measures those earning less than rand year will exempt from income tax the extra 223bn rand social spending will partly met higher fuel tobacco and alcohol taxes this budget the focus more for all not more for some and not hell lot more for few but spread across all south africa said manuel said that the economic situation was marked improvement the position the end apartheid but acknowledged that more needed done improve the lives and livelihoods the disadvantaged about jobs year have been created south africa since but unemployment remains high currently close economist colen garrow said the budget looked would stimulate economic growth its pleasant see the cut company taxes its good incentive for business said,Economics
66,jobs growth still slow the the created fewer jobs than expected january but fall jobseekers pushed the unemployment rate its lowest level three years according labor department figures firms added only jobs january the gain nonfarm payrolls was below market expectations new jobs nevertheless was enough push down the unemployment rate its lowest level since september the job gains mean that president bush can celebrate albeit very fine margin net growth jobs the economy his first term office presided over net fall jobs last novembers presidential election the first president since herbert hoover result job creation became key issue last years election however when adding december and januarys figures the administrations first term jobs record ended positive territory the labor department also said had revised down the jobs gains december from analysts said the growth new jobs was not strong could expected given the favourable economic conditions suggests that employment continuing expand moderate pace said rick egelton deputy chief economist bmo financial group are not getting the boost employment that would have got given the low value the dollar and the still relatively low interest rate environment the economy producing moderate but not satisfying amount job growth said ken mayland president clearview economics that means there are limited number new opportunities for workers,Economics
208,umaga ready for lions all blacks captain tama umaga has warned the british and irish lions will his most fearsome opponents yet ahead their summer tour but umaga england for saturdays irb rugby aid match also backed new zealand win the threetest series against the lions told bbc sport its potentially the most fearsome lineup ive ever come against theyre awesome but back all the way beat them when they come over lions boss sir clive woodward set announce his squad for the junejuly tour next month when woodward was appointed last year was widely believed would rely heavily his former england players but umaga said hed hard pushed that now considering the shape the six nations dont get wrong england have got lot talented guys and sure there are some them wholl make the lions test but you cant disguise wales and ireland particular some the tries theyve scored have been great ill admit itll fairly awesome lining against the likes brian odriscoll umaga will meet odriscoll saturdays rugby aid match twickenham with the irish captain leading the northern hemisphere side odriscoll among host players the northern hemisphere squad coached woodward that are tipped for lions callups itll good for get early idea some these guys although lot can change between now and june umaga said the 31yearold admitted interest the lions tour was immense calling the biggest thing hit new zealand since lord the rings added players its enough for driven the rarity playing the lions fact its not just all blacks its the talk the country umaga admitted the fear injury weighed his mind ahead saturdays charity game which features host big names including george gregan andrew mehrtens and chris latham but admitted the value the cause proceeds the match will aiding victims the tsunami easily won him over the second southern hemisphere coach rod macqueen made the approach didnt hesitate was great when new zealand rugby then gave the all clear thankfully didnt know anyone that was involved the tragedy the tsunami but you couldnt miss all the horrific reports the news there are many people that were affected are still affected and will affected for long time its just good know can something minor help out the match will televised bbc one gmt saturday,Sports
125,more than million people worldwide have parkinson’s disease according the parkinson’s foundation progressive neurodegenerative disorder damages destroys neurons located the midbrain these neurons produce dopamine neurotransmitter that plays role movement this lack dopamine causes symptoms which include tremors stiffness and impaired balance and coordination treatment with the drug ldopatrusted source can replenish the brain’s dopamine alleviate some symptoms however continued use the drug can cause dyskinesia involuntary body movements the scientific community working tirelessly develop more effective ways treat and understand new study published the journal npj regenerative medicinetrusted source researchers reveal that they reversed motor symptoms rats implanting induced pluripotent stem cellstrusted source ipsc replace neurons destroyed the disease ipsc are cells that have been reprogrammed back into embryoniclike state this state allowed the scientists treat the cells and differentiate them into dopamineproducing neurons “it’s like taking book and then washing away the ink and then being able rewrite what that book is” explained james beck senior vice president and chief scientific officer for the parkinson’s foundation nonprofit organization that works improve the lives people with and advance research toward cure when implanted into the brains rats the cells used the study were able send out branching fibers make connections the brain and produce dopamine establishing parameters with their study the researchers investigated the most successful protocol for transforming nonneuronal cells into functioning neurons “the purpose this article establish the parameters that make these cells the best” jeffrey kordower director the asubanner neurodegenerative disease research center arizona state university told medical news today the researchers treated the cells their embryoniclike state with set additional factors and cultured the cells for and days “that’s where this study plays key role just trying take look several time points order see when the development these cells might produce the best results” beck told mnt the “magic” number turned out “if you treat and culture them for days and then stop their divisions and differentiate them that works best” kordower said these cells when grafted into the brains rats “have the ability grow long distances” kordower said that’s important kordower explained because the cells will eventually implanted into humans where they will need send their branches over long distances,Medicine
90,irish markets reach alltime high irish shares have risen record high with investors persuaded buy into the market low inflation and strong growth forecasts the iseq index leading shares closed points thursday fuelled strong growth banking and financial stocks fall the rate inflation january gave fresh boost shares which have advanced this month the economy set for strong growth while interest rates remain low several irelands biggest companies saw their market value hit recent highs thursday allied irish banks irelands biggest company capitalisation touched five year peak while bank ireland shares rose their highest level since august telecoms firm eircom which recently revealed that would reenter the irish mobile phone market hit yearly high analysts said that economic conditions were benign and irish shares were still trading discount other european markets ireland ticks all the boxes far international investors are concerned roy asher chief investment officer hibernian investment managers told reuters buoyant economic conditions are set continue ireland over the next few years and irish equities continue offer quality growth reasonable valuation bernard mcalinden head equity research ncb stockbrokers said equities represented good value compared other investments still looking good told reuters have seen good economic data ireland which benefits the financial stocks irelands economic miracle enjoying second wind with growth forecast for and the economy cooled markedly between and after enjoying spectacular growth more than however has bounced back strongly with growth just under expected,Economics
263,the supreme court follows through overturning roe wade abortion likely will banned greatly restricted about half the states but experts and advocates fear repercussions could reach even further affecting care for women who miscarry couples seeking fertility treatments and access some forms contraception many conservatives insist they are only interested curtailing abortion and legislation passed far often has exceptions for other reproductive care but rumblings from some the gop have experts concerned and laws banning abortion could also have unintended side effects “the rhetoric has been really increasing over the last several years” said mara gandalpowers the director birth control access the national women’s law center “there’s definitely domino effect which think people are really starting wake and see this how far could go” roe overturned suggested leaked draft opinion states will set their own abortion laws and conservative lawmakers are already passing steady stream deeply restrictive regulations oklahoma lawmakers for example passed legislation thursday banning abortion conception the strictest the nation,Medicine
286,bill that would allow families government assistance program buy whatever brand baby formula they can find the way president joe biden signed into law the bill which meant help families the wic program obtain baby formula the midst nationwide shortage was passed the senate thursday and the house wednesday the associated press reported families wic the special supplemental nutrition program for women infants and children receive vouchers that they redeem for specific foods but the vouchers are typically limited one brand infant formula the bill will allow them buy any brand formula that available now millions parents will have easier time finding the baby formula that they need said senate majority leader chuck schumer dny the reported related news the defense department hiring commercial aircraft transport about pallets nestlé formula from switzerland the united states the biden administration said thursday the products will include million 8ounce bottles three hypoallergenic formulas for children with cows milk protein allergy alfamino infant alfamino junior and gerber good start extensive the reported these formulas are priority because theyre medically important and short supply according the white house the infant formula shortage the united states was triggered the closure the nations largest formula manufacturing plant due safety concerns thursday fda commissioner robert califf said the abbott nutrition plant michigan could reopen soon next week earlier this week the food and drug administration announced preliminary deal with abbott restart production safety upgrades and certifications are met however even after production resumes could take about two months before new formula from the plant starts appearing store shelves abbott has said,Medicine
185,kirwan demands italy consistency italy coach john kirwan has challenged his side match the performance they produced pushing ireland close when they meet wales saturday despite losing sundays six nations encounter the italians confirmed their continuing improvement our goal match every side face and against ireland showed could that said kirwan but the most important thing that build that performance when play wales saturday italys halfbacks had mixed afternoon with recalled scrumhalf alessandro troncon impressing but flyhalf luciano orquera having offday with the boot kirwan said was very happy with troncon had incredible game was very good attack and defence orqueras kicking was off but showed great courage defence also followed the game plan have give him confidence because has the capability well,Sports
251,brazil buy boosts belgiums inbev belgian brewing giant inbev has seen its profits soar thanks its acquisition brazils biggest beer firm ambev last year inbev which makes stella artois said pretax profits for rose 116bn euros 15bn £800m and said expected solid growth the performance comes sales 86bn euros the firm formerly interbrew became the worlds biggest brewer volume when bought ambev august the acquisition meant its sales volume grew with four months ambev sales accounting for almost all the increase beermaker anheuserbusch sells less beer volume than inbev but bigger terms the value its sales continuing demand for inbevs products the south american markets where its brazilian arm most popular means expects keep boosting its turnover its the brazil business thats doing said ing analyst gerard rijk inbevs strong performance ambev boosted its share brazils beer market from the end more than december inbev reported contrast inbevs european business saw volume sales fall although central and eastern european sales rose overall net profits were 719m euros,Economics
122,recent study published the journal blood advances found elevated levels blood clotting markers more than one two people with long covid who also had abnormal exercise testing results individuals with elevated blood clotting marker levels were four times more likely show persistent deficits exercise capacity these results suggest that individuals with long covid should screened for impaired exercise capacity and markers associated with blood clotting the study’s author nithya prasannan researcher the university college london hospital says hope that people will view this research step forward understanding what causes long covid which will hopefully help guide future treatment options” abnormalities associated with blood clotting according the world health organization more than million individuals across the globe have been diagnosed with covid19 far although estimates vary widely recent metaanalysis suggests that nearly onethird all individuals with covid19 may experience persistent symptoms months after symptom onset these covid19 symptoms that linger for least three months after sarscov2 infection have been collectively described ‘long covidtrusted source’ ‘postacute covid19 syndrometrusted source’ some the common symptoms long covid include impaired exercise capacity fatigue breathlessness muscle pain brain fog and headaches despite the growing number individuals with long covid the mechanisms underlying these persistent symptoms covid19 are not wellunderstood recent studies have shown that individuals with long covid are more likely develop small clotstrusted source blood capillaries and show abnormalities the levels factors that promote blood clotting such micro clots can interfere with the supply oxygen and nutrients the body and potentially result long covid symptoms such fatigue,Medicine
121,recently published research nature geneticstrusted source featured the most diverse genetic study type diabetes while scientists are aware certain factors that may increase person’s risk developing type diabetes one major question what role genetics plays researchers from the and england collaborated analyze the dna profiles thousands people varying ancestries doing they not only identified new genes that contribute type diabetes but they also became step closer developing genetic risk score for the disease type diabetes what know type diabetes occurs when person’s body does not make enough use insulin effectively making difficult for the body regulate blood sugar levels can life threatening someone’s blood sugar levels get too high low the centers for disease control and preventiontrusted source reports that around million americans have diabetes and around these people have type diabetes according the american diabetes association person with type diabetes may experience some the following symptoms blurry vision increase thirst and hunger wounds that heal slowly fatigue frequent urination person suspects they have type diabetes they can consult with their physician who can order blood test check for the disease there not cure for type diabetes but people with the disease can manage their blood sugar levels taking medications and avoiding foods that spike blood sugar levels,Medicine
64,pernod takeover talk lifts domecq shares drinks and food firm allied domecq have risen speculation that could the target takeover frances pernod ricard reports the wall street journal and the financial times suggested that the french spirits firm considering bid but has yet contact its target allied domecq shares london rose gmt while pernod shares paris slipped pernod said was seeking acquisitions but refused comment specifics pernods last major purchase was third giant seagram the move which propelled into the global top three drinks firms the other twothirds seagram was bought market leader diageo terms market value pernod 75bn euros 97bn about smaller than allied domecq which has capitalisation £57bn 107bn 82bn euros last year pernod tried buy glenmorangie one scotlands premier whisky firms but lost out luxury goods firm lvmh pernod home brands including chivas regal scotch whisky havana club rum and jacobs creek wine allied domecqs big names include malibu rum courvoisier brandy stolichnaya vodka and ballantines whisky well snack food chains such dunkin donuts and baskinrobbins ice cream the wsj said that the two were ripe for consolidation having each dealt with problematic parts their portfolio pernod has reduced the debt took fund the seagram purchase just 18bn euros while allied has improved the performance its fastfood chains,Economics
51,robben plays down european return injured chelsea winger arjen robben has insisted that only has chance making return against barcelona the champions league the 21yearold has been sidelined since breaking foot against blackburn last month chelsea face barcelona home march having lost the first leg and robben told the daily star not impossible that will play against barcelona but just very very small chance about robben has been inspirational player for chelsea this season following switch from psv einhoven last summer added recovery going better than expected few weeks ago but think the barcelona game will come too soon wont take any risks and come back too soon,Sports
96,japanese mogul arrested for fraud one japans bestknown businessmen was arrested thursday charges falsifying shareholder information and selling shares based the false data yoshiaki tsutsumi was once ranked the worlds richest man and ran business spanning hotels railways construction and baseball team his the latest series arrests top executives japan over business scandals was taken away van outside one his prince hotels tokyo there was time when tsutsumi seemed untouchable inheriting large property business from his father the 1960s became one japans most powerful industrialists with close connections many the countrys leading politicians used his wealth and influence bring the winter olympic games nagano but last year was forced resign from all the posts held his business empire after being accused falsifying the shareownership structure seibu railways one his companies under japanese stock market rules listed company can more than owned its largest shareholders now tsutsumi faces criminal charges and the possibility prison sentence because made look the biggest shareholders owned less than this amount seibu railways has been delisted from the stock exchange its share value has plunged and the target takeover bid tsutsumis fall from grace follows the arrests several other top executives japan the authorities try curb the murky business practices which were once widespread japanese companies his determination stay the top all costs may have had its roots his childhood the illegitimate third son rich father who made his money buying property japan rebuilt after world war has described the demands his father made felt enormous pressure when dined with him and was nothing but pain tsutsumi told weekly magazine scolded for pouring too much soy sauce told fruit was not for children didnt let use the silk futon saying its luxury there have been corporate governance issues some other japanese companies too last year twelve managers from mitsubishi motors were charged with covering safety defects their vehicles and three executives from japans troubled ufj bank were charged with concealing the extent the banks bad loans,Economics
175,developing drugs target disorders the central nervous system cns offers significant opportunities for the pharmaceutical industry with aging population becoming increasingly susceptible neurodegenerative disorders however identifying drug targets this area particularly difficult challenge that cerevance biotech company based boston usa and cambridge looking address cerevance has developed proprietary technology named netsseq that can comprehensively profile specific brain cell types allowing for comparisons between healthy and diseased brain tissue challenges cns drug discovery the complexity the brain makes very difficult study with hundreds different cell types wired into intricate pathways identifying protein targets challenging many are expressed across different brain cell types and targeting them could result dangerous ‘ontarget’ sideeffects ideal target protein therefore produced selectively cell types that are relevant the disease this requires understanding which proteins are made which brain cells and which ones are disrupted the disorder animal models human cns diseases are generally based rare familial forms making them less than ideal for modeling disease mechanisms furthermore although there are similarities between animal and human brain structures even highly conserved regions show species differences making results from animal models hard extrapolate humans the analysis human tissues therefore provides better insights into the underlying changes diseaseassociated brain tissues cerevance has collected over healthy and diseased tissue samples from brain bank partners this collection corresponds over different brain regions and represents range diseases including parkinson’s alzheimer’s and huntingdon’s the company using these samples alongside its proprietary netsseq platform identify novel therapeutic targets looking for proteins expressed highly selectively brain cell types that either die play key role are disrupted disease,Medicine
83,trade gap hits record the gap between exports and imports hit alltime high 6717bn £484bn latest figures show the commerce department said the trade deficit for all last year was above the previous record 2003s imbalance 4965bn the deficit with china 162bn was the largest ever recorded with single country however monthly basis the trade gap narrowed december £564bn the consumers appetite for all things from oil imported cars and even wine and cheese reached record levels last year and the figures are likely spark fresh criticism president bushs economic policies democrats claim the administration has not done enough clamp down unfair foreign trade practices for example they believe chinas currency policy which manufacturers claim has undervalued the yuan much has given chinas rapidly expanding economy unfair advantage against competitors meanwhile the bush administration argues that the deficit reflects the fact the america growing faster rate than the rest the world spurring more demand for imported goods some economists say this may allow upward revision economic growth the fourth quarter but others point out that the deficit has reached such astronomical proportions that foreigners many choose not hold many dollardenominated assets which may turn harm growth for all exports rose trillion but imports rose even faster new record trillion foreign oil exports surged record 1807bn reflecting the rally global oil prices and increasing domestic demand imports were not affected the dollars weakness last year expect the deficit continue widen even the dollar gets back its downward trend said economist mariepierre ripert ixis,Economics
145,the world health organization who has established targettrusted source halting rise obesity rates part their effort contain the death toll noncommunicable diseases according the who regional obesity report not one the nations the european region currently track meet that goal the who has released plan accelerate progress toward reducing obesity that puts less the burden the individual maintain healthy eating habits press release announcing the report the who states “the new who report outlines how policy interventions that target environmental and commercial determinants poor diet the entire population level are likely most effective reversing the obesity epidemic addressing dietary inequalities and achieving environmentally sustainable food systems” joshua petimar research scientist within the department population medicine the harvard pilgrim health care institute and harvard medical school boston told medical news today “improving nutrition and health requires shift our focus from ‘personal responsibility’ toward broader societywide solutions” “eating behaviors are negatively influenced many macroscopic factors such predatory industry practices poor food access unaffordability healthy foods and others proposed solutions that fixate individual responsibility without targeting societal factors are not addressing the primary threats populations’ nutrition and health” the report finds that barriers implementing effective obesity policies include “the continuing narrative that addressing obesity the responsibility the individual and not the responsibility wider society including governments” arthur delcourt registered dietician and biomedical scientist the université catholique louvain belgium comments the report via twitter saying “so sad note that obesity continues its epidemic run throughout the world according the new report who european citizens have obesity… it’s big failure for politicians public health organizations medical staff and researchers” the press release the who’s regional director for europe hans henri kluge stresses the universality rising obesity “obesity knows borders the europe and central asia single country going meet the who global ncd target halting the rise obesity the countries our region are incredibly diverse but every one challenged some degree” “by creating environments that are more enabling promoting investment and innovation health and developing strong and resilient health systems can change the trajectory obesity the region” why the who concerned about obesity the report finds that adults europe have overweight are living with obesity among children boys and girls qualify having obesity the problem has been exacerbated during the pandemic according research cited the who resulting sharp increase overweight and obesity rates the who estimates that overweight and obesity are responsible for more than deaths million the region annually they are also believed the leading behavioral factors behind disability causing cases obesity has been linked cardiovascular diseases type diabetes and chronic respiratory diseases with obesity linked cancers the who considers “directly responsible” for least new cancer cases each year for nations funding national healthcare obesity also expensive directly consuming much overall health costs countries the who also cites research that found costs more treat people with obesity than people without,Medicine
200,france wales sat stade france paris saturday february gmt bbc1 radio and this website france may have beaten scotland and england but they were tedious and uninspired throughout both matches wales the other hand have played some fine rugby and have made their best start since they last won the title they also have good record the stade france having won their first two games there and wales have made two changes from the team that thrashed italy rome kevin morgan takes over from his injured newportgwent dragons colleague hal luscombe the right wing the pack neathswansea ospreys forward ryan jones bas been brought the blindside flank beef the wales back row place jonathan thomas wales coach mike ruddock determined that his team will not into their shells after their promising start the championship graham henry former wales coach said couple years ago that should bold when going france and was proved right said ruddock that great way approach the game and something will further endorse with the players this week despite their stuttering displays their first two games defending champions france are also unbeaten underpressure coach bernard laporte has made four changes with yannick nyanga the debutant julien laharrague aurelien rougerie and yannick jauzion coming into the side france have been criticised for the absence traditional french flair they have ground their way victory far this year but captain fabien pelous sees hope the horizon get the impression are getting better said against wales which different from the teams have beaten hope can show our proper game laharrague rougerie jauzion traille dominici delaigue yachvili marconnet bruno mas pelous capt thion betsen nyanga bonnaire bourgoin servat milloud lamboley harinordoquy mignoni michalak grandclaude thomas capt morgan shanklin henson williams jones peel jenkins davies jones cockbain sidoli jones williams owen mcbryde yapp thomas sowdentaylor cooper sweeney williams,Sports
146,behavioral variant frontotemporal dementia bvftd the second most commontrusted source form dementia younger patients and can occur early age around bvftd cases are caused excessive tau protein the brain which interferes with neuronal structure and leads neurodegeneration the levels and activity enzyme called phosphatase pp2a are linked reduced levels neurodegeneration stabilizing and upregulating this enzyme may thus help reduce tau buildups sodium selenate has been shown upregulate pp2a activity and reduce tau levels animal models dementia and mildmoderate alzheimer’s disease knowing whether these findings may replicated humans could pave the way for new treatment options recently researchers conducted phase trial understand the safety and tolerability profile sodium selenate patients with bvftd the researchers found that sodium selenate safe and welltolerated patients with bvftd and that further study now warranted investigate the drug the study was published the alzheimer’s association’s journal translational research and clinical interventionstrusted source phase trial for the study the researchers enrolled participants with bvftd with median age years old each received sodium selenate three times day week they started receiving sodium selenate which was maintained for weeks patients underwent clinical visits baseline during treatment and four weeks after completion clinical measures included mri scans baseline and week calculate brain volume change alongside blood and cerebrospinal fluid samples verify changes neurodegenerative markers the patients also filled various questionnaires track cognitive emotional and behavioral measures the end the researchers found that sodium selenate was safe and welltolerated patients with bvftd while patients experienced serious adverse events all experienced least one adverse effect the most common these being alopecia and nail disorders beyond safety and tolerability the researchers noted that patients underwent small decline cognition and behavior over the study period they also experienced change tau levels following treatment while small number participants showed substantial loss brain volume most experienced relatively slow brain atrophy rates,Medicine
242,train strike grips buenos aires strike the buenos aires underground has caused traffic chaos and large queues bus stops the argentine capital tube workers walked out last week demanding pay rise and protest against the installation automatic ticket machines metrovias the private firm which runs the five tube lines the city has offered increase wages the firm promised jobs would lost result new ticket machines said would put this commitment paper underground staff have warned they will continue with the protests until the management put acceptable offer the table the argentine work ministry has been mediating the conflict and could call obligatory conciliation which would force both sides find solution and put end the conflict some tube commuters have not hidden their frustration the ongoing strike and have broken the windows the underground trains according the local press are taken hostages dont know who right but the harm ones are said accountant jose lopez,Economics
224,budget aston takes porsche british car maker aston martin has gone headtohead with porsches sports cars with the launch its cheapest model yet with price tag under £80000 the vantage tens thousands pounds cheaper than existing aston models the vantage the most important car the history our company said astons chief executive ulrich bez aston whose cars were famously used james bond will unveil the vantage the geneva motor show thursday bez himself former executive rival porsche said the new car was the companys most affordable car ever and makes the brand accessible this turn would make aston martin globally visible but still very very exclusive added first shown concept car the north american international auto show detroit the vantage will available the late summer development costs for the vantage have been kept low sharing platform with astons db9 which bez described the previous most important car for our company there currently months waiting list for the db9 bez said the vantage will built the new aston factory gaydon near warwick and should more than double astons total output from about presently,Economics
206,robinson answers critics england captain jason robinson has rubbished suggestions that the world champions are team decline england were beaten wales their six nations opener cardiff last week and face current champions france twickenham sunday robinson said are certainly not the decline you lose one game and doesnt make you bad team have doubt the players weve got have still got the team out and beat anyone our day england find themselves striving avoid third successive championship defeat for the first time since but fullback robinson believes the newlook england team can stop the rot against france last weekend should have won the game said but can underperform and lose only two points then sure play well this week will get the win need proved that the autumn when put some excellent performances and just need build that was disappointing start against wales and might down that but are certainly not out will come out fighting this week robinson also had words comfort for 18yearold newcastle centre mathew tait who made his international debut against wales but has been demoted from the squad face france have had word with mathew said robinson still believe him outstanding player but have gone for olly barkley because the kicking mathew has just got take the chin keep working hard like doing and sure will feature some the games,Sports
